# Font index: family,style,filename,designSize
# Loaded by fontcache at runtime to resolve logical font names to files.
# Family and style values must match constants in shared/font/font.go.
# designSize: 0=scalable (single outline), N=optical master for Npt.
CrimsonPro,ExtraBoldItalic,CrimsonPro-ExtraBoldItalic.ttf,0
CrimsonPro,ExtraLight,CrimsonPro-ExtraLight.ttf,0
CrimsonPro,ExtraLightItalic,CrimsonPro-ExtraLightItalic.ttf,0
CrimsonPro,Black,CrimsonPro-Black.ttf,0
CrimsonPro,BlackItalic,CrimsonPro-BlackItalic.ttf,0
LatinModernRoman,Regular,lmroman5-regular.otf,5
LatinModernRoman,Regular,lmroman6-regular.otf,6
LatinModernRoman,Regular,lmroman7-regular.otf,7
LatinModernRoman,Regular,lmroman8-regular.otf,8
LatinModernRoman,Regular,lmroman9-regular.otf,9
LatinModernRoman,Regular,lmroman10-regular.otf,10
LatinModernRoman,Regular,lmroman12-regular.otf,12
LatinModernRoman,Regular,lmroman17-regular.otf,17
LatinModernRoman,Bold,lmroman5-bold.otf,5
LatinModernRoman,Bold,lmroman6-bold.otf,6
LatinModernRoman,Bold,lmroman7-bold.otf,7
LatinModernRoman,Bold,lmroman8-bold.otf,8
LatinModernRoman,Bold,lmroman9-bold.otf,9
LatinModernRoman,Bold,lmroman10-bold.otf,10
LatinModernRoman,Bold,lmroman12-bold.otf,12
LatinModernRoman,Italic,lmroman7-italic.otf,7
LatinModernRoman,Italic,lmroman8-italic.otf,8
LatinModernRoman,Italic,lmroman9-italic.otf,9
LatinModernRoman,Italic,lmroman10-italic.otf,10
LatinModernRoman,Italic,lmroman12-italic.otf,12
LatinModernRoman,BoldItalic,lmroman10-bolditalic.otf,10
